Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"1055 London Road,Tsutsumani,Alexandra",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"66 Jorrisen Place, Cnr Bertha And Jorrisen Streets,Braamfontein,Braamfontein",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"23 Jorrrison street,Braamfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Biccard and Stiemans Street,Braamfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Wits University, 1st floor, Matrix Centre, 1 Jan Smuts Avenue,University of Witwatersrand,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 13, Bryanston Shopping Centre, Cnr William Nicol (m81) And Ballyclare Drive,Bryanston,Bryanston",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"96 Siemert Road,New Doornfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Norwood Mall, 6th Avenue,The Gardens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Grant Street,Norwood,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Norwood Mall, 6th Avenue,The Gardens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 73u, Norwood Mall, 6th Avenue,The Gardens,The Gardens",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop Lm12a, Hyde Park Corner, Cnr 6th Road And Hyde Close,Hyde Park,Hyde Park",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Main and Betty Street,Jeppestown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"25 to 15th Ave,Alexandra,Alexandra",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"1055 London Road,Tsutsumani,Alexandra",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop 52a, Alex Mall, Cnr London Road And N3 Eastern Bypass,Tsutsumani,Tsutsumani",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 17, Alexandra Plaza, 3rd Street,Wynberg,Wynberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"25 to 15th Ave,Alexandra,Alexandra",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Cnr Napier and Barry Hertzog Street,Richmond,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Artillery Road,SABC,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Piet Meyer Building, Henley Road,SABC,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"9 Lothbury Road,Auckland Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop F05, Campus Square, Cnr Kingsway And University Street,Auckland Park,Auckland Park",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"54 Tryone Avenue,Parkview,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr University and Kingsway,Auckland Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"University Road,Auckland Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 207, Student Shopping Centre, RAU Camp, cnr Kingsway Avenue and Ripley Road (M5),University of Johannesburg,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"3 Bedford Drive,Fairmount,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Lyndhurst Square, cnr Pretoria and Drome Road,Formain,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 231, Balfour Mall, cnr Athol Street and Northview Road,Highlands North,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Eastern Bypass and Longmeadow Boulevard,Longmeadow Business Estate,Modderfontein",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
